time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
0,10,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
0.01,10,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.02,10,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
0.03,10,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
0.04,10,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
0.05,10,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
0.06,10,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0
0.07,10,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
0.08,10,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
0.09,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1,10,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
0.11,10,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
0.12,10,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
0.13,10,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0
0.14,10,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
0.15,10,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
0.16,10,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0
0.17,10,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0
0.18,10,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0
0.19,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0.2,10,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0
0.21,10,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0
0.22,10,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0
0.23,10,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0
0.24,10,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0
0.25,10,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0
0.26,10,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0
0.27,10,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0
0.28,10,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0
0.29,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0.3,10,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0
0.31,10,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0
0.32,10,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0
0.33,10,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0
0.34,10,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
0.35,10,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
0.36,10,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0
0.37,10,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0
0.38,10,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0
0.39,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0.4,10,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0
0.41,10,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0
0.42,10,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0
0.43,10,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0
0.44,10,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0
0.45,10,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0
0.46,10,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0
0.47,10,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0
0.48,10,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0
0.49,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0.5,10,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0
0.51,10,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
0.52,10,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0
0.53,10,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0
0.54,10,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0
0.55,10,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0
0.56,10,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0
0.57,10,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0
0.58,10,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0
0.59,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0.6,10,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0
0.61,10,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0
0.62,10,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0
0.63,10,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0
0.64,10,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0
0.65,10,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0
0.66,10,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0
0.67,10,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0
0.68,10,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0
0.69,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0.7,10,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0
0.71,10,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0
0.72,10,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0
0.73,10,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0
0.74,10,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0
0.75,10,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0
0.76,10,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0
0.77,10,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0
0.78,10,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0
0.79,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0.8,10,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0
0.81,10,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0
0.82,10,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0
0.83,10,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0
0.84,10,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0
0.85,10,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0
0.86,10,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0
0.87,10,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0
0.88,10,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0
0.89,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0.9,10,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0
0.91,10,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0
0.92,10,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0
0.93,10,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0
0.94,10,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0
0.95,10,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0
0.96,10,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0
0.97,10,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0
0.98,10,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0
0.99,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0
1.01,10,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0
